Date,Open,High,Low,Close,Volume
12/29/2023,"25.13","25.51","24.85","25.01","70,027"
12/28/2023,"25.02","25.47","25.01","25.29","72,913"
12/27/2023,"25.38","25.45","25.17","25.31","99,647"
12/26/2023,"25.11","25.40","24.99","25.35","76,952"
12/22/2023,"25.14","25.49","24.88","25.22","114,460"
12/21/2023,"24.77","25.13","24.57","25.12","142,764"
12/20/2023,"25.47","25.72","24.64","24.64","227,519"
12/19/2023,"25.25","25.54","24.99","25.36","138,170"
12/18/2023,"24.95","25.30","24.50","25.12","92,804"
12/15/2023,"25.72","25.72","24.83","25.12","196,643"
12/14/2023,"25.77","26.39","25.15","25.46","122,868"
12/13/2023,"24.21","25.17","23.80","25.05","168,307"
12/12/2023,"24.53","24.63","24.23","24.35","62,271"
12/11/2023,"24.66","25.01","24.34","24.70","98,367"
12/08/2023,"24.50","25.31","24.50","24.91","83,916"
12/07/2023,"23.57","24.58","23.32","24.56","134,485"
12/06/2023,"23.77","24.10","23.53","23.57","83,590"
12/05/2023,"23.31","23.52","22.89","23.43","138,844"
12/04/2023,"23.15","23.66","23.15","23.51","85,388"
12/01/2023,"22.50","23.27","22.45","23.15","101,882"
11/30/2023,"22.36","22.86","22.05","22.59","113,436"
11/29/2023,"22.80","23.03","22.13","22.31","97,771"
11/28/2023,"22.60","22.77","22.10","22.57","67,072"
11/27/2023,"22.42","22.74","22.25","22.38","99,949"
11/24/2023,"22.53","22.85","22.32","22.71","45,532"
11/22/2023,"22.20","22.66","22.00","22.42","74,075"
11/21/2023,"21.81","22.34","21.63","22.11","80,824"
11/20/2023,"22.70","22.74","21.79","22.03","166,309"
11/17/2023,"21.62","22.64","21.20","22.58","172,230"
11/16/2023,"21.61","21.87","21.10","21.40","170,369"
11/15/2023,"22.14","22.63","21.38","21.71","169,621"
11/14/2023,"20.85","22.27","20.61","22.00","310,341"
11/13/2023,"20.91","21.52","20.11","20.15","221,096"
11/10/2023,"21.28","21.28","20.28","20.97","235,233"
11/09/2023,"20.66","22.07","18.06","21.17","514,739"
11/08/2023,"23.17","23.27","22.47","22.83","178,868"
